"Rdate","Xhr.dectime","Spot","BHPA","BYMA","CFMA","DHPA","MEPA","OCPA","RBMA","RGMA","SCMA","WBPA","WEPA","YCPA"
"2002-10-02",5.5,"3B",0,6,28,0,0,0,8,0,0,0,0,8
"2002-10-02",5.58333333333333,"3A",1,0,1,0,0,0,9,0,0,0,0,4
"2002-10-02",5.58333333333333,"3B",0,22,1,0,0,0,0,0,10,0,0,8
"2002-10-02",5.66666666666667,"3A",44,1,4,0,2,1,6,0,0,0,0,2
"2002-10-02",5.66666666666667,"3B",0,0,0,0,0,0,2,0,0,0,0,0
"2002-10-02",5.75,"3A",43,19,3,0,2,7,0,0,0,0,0,0
"2002-10-02",5.83333333333333,"3A",60,20,5,0,8,13,2,0,1,0,0,0
"2002-10-02",5.91666666666667,"3A",49,16,0,0,23,20,0,0,0,0,0,2
"2002-10-02",6,"2C",0,18,0,0,4,0,0,2,12,0,0,0
"2002-10-02",6,"3A",17,0,0,0,5,1,0,0,0,0,0,0
"2002-10-02",6.16666666666667,"3A",28,16,0,0,28,15,0,1,2,0,0,0
"2002-10-02",6.25,"3A",24,18,0,0,62,22,0,0,2,0,0,0
"2002-10-02",6.33333333333333,"3A",18,10,0,0,47,21,0,0,10,0,0,0
"2002-10-02",6.41666666666667,"3A",2,2,0,0,2,14,0,0,0,0,0,0
"2002-10-02",6.5,"3A",5,12,0,0,47,25,0,0,2,0,0,0
"2002-10-02",6.58333333333333,"3A",1,2,0,0,28,10,0,0,0,0,0,0
"2002-10-02",6.66666666666667,"1B",0,0,0,0,0,0,0,0,2,0,0,0
"2002-10-02",6.66666666666667,"2A",0,6,0,0,0,0,0,2,14,0,0,0
"2002-10-02",6.66666666666667,"3A",0,0,0,0,5,0,0,0,0,0,0,0
"2002-10-02",6.75,"1A",0,0,0,0,0,0,0,0,0,1,0,0
"2002-10-02",6.75,"1B",0,1,0,0,0,0,0,1,3,0,0,0
"2002-10-02",6.75,"2A",0,6,0,0,0,0,0,2,10,0,0,0
"2002-10-02",6.83333333333333,"1A",0,0,0,0,0,0,0,0,0,1,0,0
"2002-10-02",6.83333333333333,"2A",0,3,0,0,0,0,0,1,7,0,0,0
"2002-10-02",6.91666666666667,"1A",0,0,0,0,0,0,0,0,0,3,0,0
"2002-10-02",6.91666666666667,"2A",0,3,0,0,0,0,0,3,7,0,0,0
"2002-10-02",7,"2A",0,6,0,0,0,0,0,4,18,0,0,0
"2002-10-02",7.08333333333333,"1A",0,0,0,0,0,0,0,0,0,2,0,0
"2002-10-04",5.65,"2C",12,0,23,0,0,0,33,0,0,0,0,4
"2002-10-04",6.06666666666667,"1A",0,0,0,9,0,0,0,0,0,1,10,0
"2002-10-04",6.15,"1A",0,0,0,4,0,0,0,0,0,0,8,0
"2002-10-04",6.15,"3A",20,0,0,0,0,16,1,0,0,0,0,4
"2002-10-04",6.23333333333333,"1A",0,0,0,0,0,0,0,0,0,2,2,0
"2002-10-04",6.23333333333333,"3A",38,0,2,0,0,62,0,0,0,0,0,0
"2002-10-04",6.31666666666667,"1A",0,0,0,4,0,0,0,0,0,0,35,0
"2002-10-04",6.31666666666667,"2C",2,16,0,0,0,0,0,0,0,0,0,0
"2002-10-04",6.31666666666667,"3A",43,0,0,0,2,58,2,0,0,0,0,0
"2002-10-04",6.4,"1A",0,0,0,6,0,0,0,0,0,0,8,0
"2002-10-04",6.4,"3A",35,0,0,0,3,13,2,0,0,0,0,0
"2002-10-04",6.48333333333333,"1A",0,0,0,3,0,2,0,0,0,0,28,0
"2002-10-04",6.48333333333333,"2A",0,20,0,0,0,0,0,2,7,0,0,0
"2002-10-04",6.48333333333333,"3A",36,0,0,0,2,22,0,0,0,0,0,0
"2002-10-04",6.56666666666667,"1A",0,0,0,0,0,0,0,0,0,2,0,0
"2002-10-04",6.56666666666667,"2A",0,13,0,0,0,0,0,0,2,0,0,0
"2002-10-04",6.56666666666667,"3A",26,11,0,0,24,9,3,2,6,0,0,0
"2002-10-04",6.65,"2A",0,20,0,0,0,0,0,0,8,0,0,0
"2002-10-04",6.65,"3A",0,3,0,0,0,0,0,0,0,0,0,0
"2002-10-04",6.73333333333333,"2A",0,14,0,0,0,0,0,0,16,0,0,0
"2002-10-04",6.73333333333333,"3A",0,11,0,0,0,0,0,0,4,0,0,0
"2002-10-04",6.81666666666667,"2A",0,13,0,0,0,0,0,0,16,0,0,0
"2002-10-04",6.81666666666667,"3A",0,7,0,0,0,0,0,0,4,0,0,0
"2002-10-04",6.98333333333333,"2A",0,19,0,0,0,0,0,0,5,0,0,0
"2002-10-06",5.53333333333333,"2C",8,16,7,0,25,0,16,0,0,0,0,0
"2002-10-06",5.61666666666667,"2C",20,31,6,0,0,0,23,4,5,0,0,15
"2002-10-06",5.7,"2C",25,14,3,0,0,0,18,0,2,0,0,3
"2002-10-06",5.78333333333333,"1A",0,0,0,0,0,0,0,0,0,1,0,0
"2002-10-06",5.78333333333333,"2C",56,16,9,0,7,2,13,0,3,0,0,0
"2002-10-06",5.86666666666667,"2C",32,6,2,0,1,0,2,0,0,0,0,0
"2002-10-06",5.95,"1A",0,0,0,1,0,0,0,0,0,1,3,0
"2002-10-06",5.95,"2C",36,1,0,0,10,1,0,0,0,0,0,0
"2002-10-06",6.03333333333333,"1A",0,0,0,2,0,0,0,0,0,2,3,0
"2002-10-06",6.11666666666667,"1A",0,0,0,0,0,4,0,0,0,2,1,0
"2002-10-06",6.2,"1A",0,0,1,0,0,0,0,0,0,0,0,2
"2002-10-06",6.2,"1B",0,0,2,0,0,0,0,0,0,0,0,0
"2002-10-06",6.36666666666667,"1A",0,0,0,0,0,0,0,0,0,3,0,0
"2002-10-06",6.45,"1A",0,0,0,3,0,3,0,0,0,2,0,0
"2002-10-06",6.53333333333333,"1A",0,0,0,3,0,5,0,0,0,0,1,0
"2002-10-06",6.7,"1A",0,0,0,0,0,0,0,0,0,1,0,0
"2002-10-08",5.5,"3B",0,5,0,0,0,0,0,0,0,0,0,0
